procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 4680780  34780 3069432    0    0   494   482  761  674  7  3 90  0  0
 0  0      0 3657156  34780 3069432    0    0     0  5664 1037 1581  2  4 95  0  0
 0  0      0 2631564  34780 3069432    0    0     0     0  892 1348  2  4 94  0  0
 0  0      0 1606080  34780 3069432    0    0     0     0  891 1445  1  4 95  0  0
 1  0      0 1460976  34780 3069432    0    0     0     0  801 1454  0  1 99  0  0
 0  0      0 580048  34780 3069432    0    0     0     0  871 1504  1  3 96  0  0
 0  0    512 146448  34508 2552084    0    8     0    40 1407 1944  1  6 92  0  0
 0  0    512 161916  34508 1509780    0    0     0     0 1101 1683  1  6 92  0  0
 2  0    512 140444  34508 1375844    0    0     0     0  832 1475  1  1 98  0  0
 1  0 167168 206480  23316 506628    0 35440  1676 35440 3900 5961  1 24 75  0  0
 2  0 238848 160532   2104 390236    0    0   136     0 1345 2440  1  9 90  0  0
 3  0 503040 239904   1548 251332    0 8560  4516  8560 9648 9787  1 36 63  0  0
 3  0 798720 175828   1268 201888    0   40  3884    40 13843 6962  1 30 69  0  0
 2  0 1064704 239652   1312 185392    0 1132  2588  1152 6217 7959  1 36 63  0  0
 1  0 1266688 261460   1184 185032    0  152  6892   160 18211 5541  1 27 72  0  0
 5  0 1444864 235344    932 179312    0   72   332   104 18297 5451  1 25 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 1676516 239996    832 175924    0   56  1184   104 25758 7846  1 37 62  0  0
 2  0 1924864 239484    804 175848    0   40  5716   120 36193 9475  1 45 54  0  0
 2  1 2097064 6291440    544 184208    0  912 42880   932 44996 9541  1 37 61  1  0
 0  0 2095764 8969236    544 232124    0    0 48056     0 1823 2874  1  3 96  0  0
 0  0 2091160 8959824    544 237920    0    0  5548     0 1415 2810  1  1 98  0  0
 0  0 2087656 8954832    544 238656    0    0   380     0 1205 2617  1  1 98  0  0
 1  0 2086792 8954076    544 238672    0    0   128     0 1048 2150  1  1 99  0  0
 0  2 2083244 8920008   1108 269224    0    0 31292    52 2159 3970  2  1 97  0  0
 0  0 2082416 8915208   1108 275836    0    0  6368     0 1265 2239  1  1 98  0  0
 0  0 2081540 8914276   1108 276188    0    0   360     0 1035 1986  1  0 99  0  0
 0  0 2079804 8911928   1108 276220    0    0     0     0 1079 2153  1  1 99  0  0
 0  0 2078172 8905524   1108 281592    0    0  5396     0 1212 2429  1  1 98  0  0
 0  0 2076068 8902824   1108 281640    0    0     0     0 1085 2219  1  0 99  0  0
 0  0 2068760 8894536   1108 283372    0    0  1444     0 1609 3309  1  1 98  0  0
 1  0 2049992 8861736   2392 290832    0    0  8508     0 2009 4580  1  4 95  0  0

Prograp use a lot of memory, so pages swap to memory.
